ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x17_DFS_3,"(11, 17)",DFS,Vertical,Q-Explorer,0.12,0.58,5,56,412
11x19_AB_1,"(11, 19)",AldousBroder,Vertical,Q-Determinative,0.12,0.57,17,12,27
11x19_AB_1,"(11, 19)",AldousBroder,Vertical,Q-Student,0.12,0.57,17,12,16
11x19_AB_1,"(11, 19)",AldousBroder,Vertical,Q-Explorer,0.12,0.57,17,12,76
11x19_AB_2,"(11, 19)",AldousBroder,Vertical,Q-Determinative,0.12,0.57,13,24,93
11x19_AB_2,"(11, 19)",AldousBroder,Vertical,Q-Student,0.12,0.57,13,24,37
11x19_AB_2,"(11, 19)",AldousBroder,Vertical,Q-Explorer,0.12,0.57,13,24,198
11x19_AB_3,"(11, 19)",AldousBroder,Vertical,Q-Determinative,0.12,0.57,15,28,124
11x19_AB_3,"(11, 19)",AldousBroder,Vertical,Q-Student,0.12,0.57,15,28,44
11x19_AB_3,"(11, 19)",AldousBroder,Vertical,Q-Explorer,0.12,0.57,15,28,221
11x19_BT_1,"(11, 19)",BinaryTree,Vertical,Q-Determinative,0.21,0.57,14,8,17
11x19_BT_1,"(11, 19)",BinaryTree,Vertical,Q-Student,0.21,0.57,14,8,10
11x19_BT_1,"(11, 19)",BinaryTree,Vertical,Q-Explorer,0.21,0.57,14,8,43
11x19_BT_2,"(11, 19)",BinaryTree,Vertical,Q-Determinative,0.16,0.58,12,12,30
11x19_BT_2,"(11, 19)",BinaryTree,Vertical,Q-Student,0.16,0.58,12,12,16
11x19_BT_2,"(11, 19)",BinaryTree,Vertical,Q-Explorer,0.16,0.58,12,12,72
11x19_BT_3,"(11, 19)",BinaryTree,Vertical,Q-Determinative,0.12,0.59,18,14,36
11x19_BT_3,"(11, 19)",BinaryTree,Vertical,Q-Student,0.12,0.59,18,14,17
11x19_BT_3,"(11, 19)",BinaryTree,Vertical,Q-Explorer,0.12,0.59,18,14,118
11x19_DFS_1,"(11, 19)",DFS,Vertical,Q-Determinative,0.12,0.57,7,48,174
11x19_DFS_1,"(11, 19)",DFS,Vertical,Q-Student,0.12,0.57,7,48,92
11x19_DFS_1,"(11, 19)",DFS,Vertical,Q-Explorer,0.12,0.57,7,48,355
11x19_DFS_2,"(11, 19)",DFS,Vertical,Q-Determinative,0.25,0.57,7,52,218
11x19_DFS_2,"(11, 19)",DFS,Vertical,Q-Student,0.25,0.57,7,52,114
11x19_DFS_2,"(11, 19)",DFS,Vertical,Q-Explorer,0.25,0.57,7,52,344
11x19_DFS_3,"(11, 19)",DFS,Vertical,Q-Determinative,0.12,0.57,7,24,103
11x19_DFS_3,"(11, 19)",DFS,Vertical,Q-Student,0.12,0.57,7,24,36
11x19_DFS_3,"(11, 19)",DFS,Vertical,Q-Explorer,0.12,0.57,7,24,170
11x21_AB_1,"(11, 21)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,16,34,166
11x21_AB_1,"(11, 21)",AldousBroder,Vertical,Q-Student,0.11,0.57,16,34,59
11x21_AB_1,"(11, 21)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,16,34,249
11x21_AB_2,"(11, 21)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,16,20,70
11x21_AB_2,"(11, 21)",AldousBroder,Vertical,Q-Student,0.11,0.57,16,20,27
11x21_AB_2,"(11, 21)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,16,20,126
11x21_AB_3,"(11, 21)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,17,30,136
11x21_AB_3,"(11, 21)",AldousBroder,Vertical,Q-Student,0.11,0.57,17,30,49
11x21_AB_3,"(11, 21)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,17,30,208
11x21_BT_1,"(11, 21)",BinaryTree,Vertical,Q-Determinative,0.11,0.58,20,10,16
11x21_BT_1,"(11, 21)",BinaryTree,Vertical,Q-Student,0.11,0.58,20,10,13
11x21_BT_1,"(11, 21)",BinaryTree,Vertical,Q-Explorer,0.11,0.58,20,10,64
11x21_BT_2,"(11, 21)",BinaryTree,Vertical,Q-Determinative,0.11,0.59,15,14,29
11x21_BT_2,"(11, 21)",BinaryTree,Vertical,Q-Student,0.11,0.59,15,14,22
11x21_BT_2,"(11, 21)",BinaryTree,Vertical,Q-Explorer,0.11,0.59,15,14,108
11x21_BT_3,"(11, 21)",BinaryTree,Vertical,Q-Determinative,0.11,0.58,13,14,36
11x21_BT_3,"(11, 21)",BinaryTree,Vertical,Q-Student,0.11,0.58,13,14,17
11x21_BT_3,"(11, 21)",BinaryTree,Vertical,Q-Explorer,0.11,0.58,13,14,98
11x21_DFS_1,"(11, 21)",DFS,Vertical,Q-Determinative,0.11,0.57,7,26,97
11x21_DFS_1,"(11, 21)",DFS,Vertical,Q-Student,0.11,0.57,7,26,38
11x21_DFS_1,"(11, 21)",DFS,Vertical,Q-Explorer,0.11,0.57,7,26,163
11x21_DFS_2,"(11, 21)",DFS,Vertical,Q-Determinative,0.11,0.57,7,24,100
11x21_DFS_2,"(11, 21)",DFS,Vertical,Q-Student,0.11,0.57,7,24,35
11x21_DFS_2,"(11, 21)",DFS,Vertical,Q-Explorer,0.11,0.57,7,24,199
11x21_DFS_3,"(11, 21)",DFS,Vertical,Q-Determinative,0.11,0.57,5,72,596
11x21_DFS_3,"(11, 21)",DFS,Vertical,Q-Student,0.11,0.57,5,72,438
11x21_DFS_3,"(11, 21)",DFS,Vertical,Q-Explorer,0.11,0.57,5,72,840
11x23_AB_1,"(11, 23)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,19,12,22
11x23_AB_1,"(11, 23)",AldousBroder,Vertical,Q-Student,0.11,0.57,19,12,15
11x23_AB_1,"(11, 23)",AldousBroder,Vertical,Q-Explorer,0.11,0.57,19,12,85
11x23_AB_2,"(11, 23)",AldousBroder,Vertical,Q-Determinative,0.11,0.57,11,46,216
